"ID","BasePeriodID","Species","StockID","Age","FisheryID","TimeStep","Catch","Adjusted"
44074.90,3,1,18,2,14,3,5.03,
44074.95,3,1,39,5,8,3,13.48,
44074.90,3,1,5,5,8,2,4.70,
44074.95,3,1,1,4,10,1,30.56,
44074.95,3,1,2,4,74,2,45.95,
44074.95,3,1,7,3,56,3,14.22,
44074.95,3,1,7,3,57,3,4.69,
44074.95,3,1,10,4,48,3,19.09,
44074.95,3,1,11,4,41,2,5.30,
44074.95,3,1,16,2,11,2,9.78,
44074.95,3,1,19,4,54,1,2.76,
44074.95,3,1,19,4,54,3,8.61,
44074.95,3,1,20,5,27,3,5.09,
44074.95,3,1,22,3,18,3,44.62,
44074.95,3,1,23,4,8,1,11.46,
44074.95,3,1,24,5,8,2,34.99,
44074.95,3,1,39,5,9,2,50.82,
44074.90,3,1,5,5,8,3,3.31,
44074.90,3,1,5,5,9,3,8.68,
44074.90,3,1,5,5,10,2,4.99,
44074.90,3,1,18,4,42,3,1.91,
44074.90,3,1,18,4,45,1,2.18,
44074.95,3,1,1,4,10,2,137.87,
44074.95,3,1,1,4,10,3,22.27,
44074.95,3,1,2,4,74,3,1493.43,
44074.95,3,1,2,5,3,2,2.69,
44074.95,3,1,7,3,58,3,1.00,
44074.95,3,1,7,3,74,3,641.01,
44074.95,3,1,7,4,1,3,6.41,
44074.95,3,1,10,4,49,3,1.25,
44074.95,3,1,10,4,53,1,3.31,
44074.95,3,1,16,2,11,3,26.02,
44074.95,3,1,16,4,41,1,8.23,
44074.95,3,1,16,4,41,2,8.00,
44074.95,3,1,19,4,74,3,749.07,
44074.95,3,1,20,2,2,3,2.15,
44074.95,3,1,20,5,30,3,11.28,
44074.95,3,1,22,3,20,2,527.03,
44074.95,3,1,22,3,20,3,94.87,
44074.95,3,1,24,2,11,2,11.17,
44074.95,3,1,24,5,8,3,57.74,
44074.95,3,1,25,4,9,3,8.65,
44074.95,3,1,25,4,10,1,1.71,
44074.95,3,1,25,4,14,2,5.02,
44074.95,3,1,26,3,10,1,100.37,
44074.95,3,1,27,2,27,3,15.18,
44074.95,3,1,27,3,16,3,11.06,
