"ID","StockID","FisheryID","ShakerInclusionFlag"
688,10,31,0
689,10,32,0
690,10,33,0
691,10,34,0
692,10,35,0
693,10,36,1
694,10,37,0
695,10,38,0
696,10,39,0
697,10,40,0
698,10,41,1
699,10,42,1
700,10,43,0
701,10,44,1
702,10,45,1
703,10,46,0
704,10,47,0
705,10,48,0
706,10,49,1
707,10,50,1
708,10,51,1
709,10,52,1
710,10,53,1
711,10,54,0
712,10,55,0
713,10,56,0
714,10,57,0
715,10,58,1
716,10,59,1
717,10,60,1
718,10,61,1
719,10,62,0
720,10,63,0
721,10,64,0
722,10,65,0
723,10,66,0
724,10,67,1
725,10,68,0
726,10,69,0
727,10,70,0
728,10,71,0
729,10,72,0
730,10,73,1
731,11,1,0
732,11,2,0
733,11,3,0
734,11,4,0
735,11,5,0
736,11,6,0
737,11,7,1
738,11,8,0
739,11,9,1
740,11,10,1
741,11,11,1
742,11,12,1
743,11,13,0
744,11,14,1
745,11,15,1
746,11,16,1
747,11,17,1
748,11,18,0
749,11,19,0
750,11,20,1
751,11,21,1
752,11,22,0
753,11,23,0
754,11,24,0
755,11,25,0
756,11,26,1
757,11,27,0
758,11,28,0
759,11,29,0
760,11,30,0
761,11,31,0
762,11,32,0
763,11,33,0
764,11,34,0
765,11,35,0
766,11,36,1
767,11,37,0
768,11,38,1
769,11,39,0
770,11,40,0
771,11,41,1
772,11,42,1
773,11,43,1
774,11,44,1
775,11,45,0
776,11,46,1
777,11,47,0
778,11,48,0
779,11,49,1
780,11,50,1
781,11,51,0
782,11,52,0
783,11,53,1
784,11,54,0
785,11,55,0
786,11,56,1
787,11,57,0
788,11,58,1
789,11,59,1
790,11,60,1
791,11,61,1
792,11,62,0
793,11,63,0
794,11,64,0
795,11,65,1
796,11,66,1
797,11,67,0
798,11,68,0
799,11,69,0
800,11,70,0
801,11,71,0
802,11,72,0
803,11,73,1
804,12,1,0
805,12,2,0
806,12,3,0
807,12,4,0
808,12,5,1
809,12,6,0
810,12,7,0
811,12,8,0
812,12,9,0
813,12,10,1
814,12,11,1
815,12,12,0
816,12,13,1
817,12,14,0
818,12,15,1
819,12,16,1
820,12,17,1
821,12,18,0
822,12,19,0
823,12,20,0
824,12,21,0
825,12,22,0
826,12,23,0
827,12,24,0
828,12,25,0
829,12,26,1
830,12,27,0
831,12,28,0
832,12,29,0
833,12,30,0
834,12,31,0
835,12,32,0
836,12,33,0
837,12,34,0
838,12,35,0
839,12,36,0
840,12,37,1
841,12,38,1
842,12,39,0
843,12,40,0
844,12,41,1
845,12,42,1
846,12,43,1
847,12,44,1
848,12,45,1
849,12,46,0
850,12,47,0
851,12,48,0
852,12,49,1
853,12,50,1
854,12,51,0
855,12,52,0
856,12,53,1
857,12,54,0
858,12,55,0
859,12,56,1
860,12,57,0
861,12,58,1
862,12,59,1
863,12,60,1
864,12,61,1
865,12,62,0
866,12,63,0
867,12,64,0
868,12,65,1
869,12,66,1
870,12,67,1
871,12,68,1
872,12,69,1
873,12,70,0
874,12,71,0
875,12,72,0
876,12,73,1
877,13,1,0
878,13,2,0
879,13,3,0
880,13,4,0
881,13,5,0
882,13,6,0
883,13,7,1
884,13,8,0
885,13,9,0
886,13,10,1
887,13,11,1
888,13,12,1
889,13,13,0
890,13,14,0
891,13,15,1
892,13,16,1
893,13,17,1
894,13,18,0
895,13,19,0
896,13,20,1
897,13,21,1
898,13,22,0
899,13,23,0
900,13,24,0
901,13,25,0
902,13,26,0
903,13,27,0
904,13,28,0
905,13,29,0
906,13,30,0
907,13,31,0
908,13,32,0
909,13,33,0
910,13,34,0
911,13,35,0
912,13,36,1
913,13,37,0
914,13,38,0
915,13,39,0
916,13,40,0
917,13,41,1
918,13,42,1
919,13,43,1
920,13,44,1
921,13,45,1
922,13,46,0
923,13,47,0
924,13,48,0
925,13,49,0
926,13,50,0
927,13,51,0
928,13,52,0
929,13,53,1
930,13,54,0
931,13,55,0
932,13,56,0
933,13,57,1
934,13,58,1
935,13,59,1
936,13,60,1
937,13,61,1
938,13,62,0
939,13,63,0
940,13,64,0
941,13,65,0
942,13,66,0
943,13,67,0
944,13,68,1
945,13,69,1
946,13,70,1
947,13,71,1
948,13,72,0
949,13,73,0
950,14,1,0
951,14,2,0
952,14,3,0
953,14,4,0
954,14,5,0
955,14,6,0
956,14,7,0
957,14,8,0
958,14,9,0
959,14,10,0
960,14,11,0
961,14,12,0
962,14,13,0
963,14,14,0
964,14,15,0
965,14,16,1
966,14,17,1
967,14,18,0
968,14,19,0
969,14,20,0
970,14,21,0
971,14,22,0
972,14,23,0
973,14,24,0
974,14,25,0
975,14,26,0
976,14,27,0
977,14,28,0
978,14,29,0
979,14,30,0
980,14,31,0
981,14,32,0
982,14,33,0
983,14,34,0
984,14,35,0
985,14,36,0
986,14,37,0
987,14,38,0
988,14,39,0
989,14,40,0
990,14,41,1
991,14,42,1
992,14,43,1
993,14,44,1
994,14,45,0
995,14,46,0
996,14,47,0
997,14,48,0
998,14,49,1
999,14,50,1
1000,14,51,0
1001,14,52,0
1002,14,53,1
1003,14,54,0
1004,14,55,0
1005,14,56,1
1006,14,57,1
1007,14,58,1
1008,14,59,1
1009,14,60,0
1010,14,61,0
1011,14,62,0
1012,14,63,0
1013,14,64,1
1014,14,65,1
1015,14,66,1
1016,14,67,1
1017,14,68,1
1018,14,69,1
1019,14,70,1
1020,14,71,1
1021,14,72,0
1022,14,73,0
1023,15,1,0
1024,15,2,0
1025,15,3,0
1026,15,4,0
1027,15,5,0
1028,15,6,0
1029,15,7,0
1030,15,8,0
1031,15,9,0
1032,15,10,0
1033,15,11,0
1034,15,12,0
1035,15,13,0
1036,15,14,1
1037,15,15,1
1038,15,16,0
1039,15,17,1
1040,15,18,0
1041,15,19,0
1042,15,20,0
1043,15,21,0
1044,15,22,0
1045,15,23,0
1046,15,24,0
1047,15,25,0
1048,15,26,0
1049,15,27,0
1050,15,28,0
1051,15,29,0
1052,15,30,0
1053,15,31,0
1054,15,32,0
1055,15,33,0
1056,15,34,0
1057,15,35,0
1058,15,36,1
1059,15,37,0
1060,15,38,0
1061,15,39,0
1062,15,40,0
1063,15,41,1
1064,15,42,1
1065,15,43,0
1066,15,44,0
1067,15,45,0
1068,15,46,0
1069,15,47,0
1070,15,48,0
1071,15,49,0
1072,15,50,0
1073,15,51,0
1074,15,52,0
1075,15,53,1
1076,15,54,0
1077,15,55,0
1078,15,56,1
1079,15,57,1
1080,15,58,1
1081,15,59,1
1082,15,60,1
1083,15,61,1
1084,15,62,0
1085,15,63,0
1086,15,64,0
1087,15,65,0
1088,15,66,0
1089,15,67,0
1090,15,68,0
1091,15,69,0
1092,15,70,0
1093,15,71,0
1094,15,72,0
1095,15,73,0
1096,16,1,0
1097,16,2,0
1098,16,3,0
1099,16,4,0
1100,16,5,0
1101,16,6,0
1102,16,7,0
1103,16,8,0
1104,16,9,0
1105,16,10,1
1106,16,11,1
1107,16,12,0
1108,16,13,0
1109,16,14,0
1110,16,15,1
1111,16,16,1
1112,16,17,1
1113,16,18,1
1114,16,19,0
1115,16,20,0
1116,16,21,0
1117,16,22,0
1118,16,23,0
1119,16,24,0
1120,16,25,0
1121,16,26,1
1122,16,27,0
1123,16,28,0
1124,16,29,0
1125,16,30,0
1126,16,31,0
1127,16,32,0
1128,16,33,0
1129,16,34,0
1130,16,35,0
1131,16,36,1
1132,16,37,0
1133,16,38,0
1134,16,39,0
1135,16,40,0
1136,16,41,1
1137,16,42,1
1138,16,43,1
1139,16,44,1
1140,16,45,0
1141,16,46,0
1142,16,47,0
1143,16,48,0
1144,16,49,1
1145,16,50,1
1146,16,51,0
1147,16,52,0
1148,16,53,1
1149,16,54,0
1150,16,55,0
1151,16,56,0
1152,16,57,1
1153,16,58,0
1154,16,59,0
1155,16,60,0
1156,16,61,0
1157,16,62,0
1158,16,63,0
1159,16,64,1
1160,16,65,1
1161,16,66,1
1162,16,67,1
1163,16,68,1
1164,16,69,1
1165,16,70,1
1166,16,71,1
1167,16,72,0
1168,16,73,1
1169,17,1,0
1170,17,2,0
1171,17,3,0
1172,17,4,0
1173,17,5,0
1174,17,6,0
1175,17,7,0
1176,17,8,0
1177,17,9,0
1178,17,10,0
1179,17,11,0
1180,17,12,0
1181,17,13,0
1182,17,14,0
1183,17,15,0
1184,17,16,1
1185,17,17,0
1186,17,18,0
1187,17,19,0
1188,17,20,0
1189,17,21,0
1190,17,22,0
1191,17,23,0
1192,17,24,0
1193,17,25,0
1194,17,26,0
1195,17,27,0
1196,17,28,0
1197,17,29,0
1198,17,30,0
1199,17,31,0
1200,17,32,0
1201,17,33,0
1202,17,34,0
1203,17,35,0
1204,17,36,0
1205,17,37,0
1206,17,38,0
1207,17,39,0
1208,17,40,0
1209,17,41,1
1210,17,42,1
1211,17,43,0
1212,17,44,0
1213,17,45,0
1214,17,46,0
1215,17,47,0
1216,17,48,0
1217,17,49,0
1218,17,50,0
1219,17,51,0
1220,17,52,0
1221,17,53,1
1222,17,54,0
1223,17,55,0
1224,17,56,0
1225,17,57,0
1226,17,58,1
1227,17,59,1
1228,17,60,0
1229,17,61,0
1230,17,62,0
1231,17,63,0
1232,17,64,1
1233,17,65,1
1234,17,66,1
1235,17,67,0
1236,17,68,0
1237,17,69,0
1238,17,70,0
1239,17,71,0
1240,17,72,0
1241,17,73,1
1242,18,1,1
1243,18,2,1
1244,18,3,1
1245,18,4,1
1246,18,5,1
1247,18,6,1
1248,18,7,0
1249,18,8,1
1250,18,9,1
1251,18,10,1
1252,18,11,1
1253,18,12,1
1254,18,13,1
1255,18,14,1
1256,18,15,1
1257,18,16,0
1258,18,17,1
1259,18,18,0
1260,18,19,0
1261,18,20,0
1262,18,21,0
1263,18,22,0
1264,18,23,0
1265,18,24,0
1266,18,25,0
1267,18,26,0
1268,18,27,0
1269,18,28,0
1270,18,29,0
1271,18,30,0
1272,18,31,0
1273,18,32,0
1274,18,33,0
1275,18,34,0
1276,18,35,0
1277,18,36,0
1278,18,37,0
1279,18,38,0
1280,18,39,1
1281,18,40,0
1282,18,41,1
1283,18,42,1
1284,18,43,1
1285,18,44,1
1286,18,45,0
1287,18,46,0
1288,18,47,0
1289,18,48,0
1290,18,49,1
1291,18,50,0
1292,18,51,0
1293,18,52,0
1294,18,53,1
1295,18,54,0
1296,18,55,0
1297,18,56,0
1298,18,57,0
1299,18,58,0
1300,18,59,0
1301,18,60,0
1302,18,61,0
1303,18,62,0
1304,18,63,0
1305,18,64,0
1306,18,65,0
1307,18,66,0
1308,18,67,1
1309,18,68,0
1310,18,69,0
1311,18,70,0
1312,18,71,0
1313,18,72,0
1314,18,73,1
1315,19,1,0
1316,19,2,0
1317,19,3,0
1318,19,4,0
1319,19,5,0
1320,19,6,0
1321,19,7,0
1322,19,8,0
1323,19,9,1
1324,19,10,1
1325,19,11,1
1326,19,12,0
1327,19,13,1
1328,19,14,0
1329,19,15,1
1330,19,16,0
1331,19,17,1
1332,19,18,0
1333,19,19,0
1334,19,20,1
1335,19,21,1
1336,19,22,0
1337,19,23,0
1338,19,24,0
