"BasePeriodID","StockID","Age","TimeStep","MaturationRate","RunTime"
3,17,2,4,0.00,1/11/2023 20:49:38
3,17,3,1,0.00,1/11/2023 20:49:38
3,17,3,2,0.00,1/11/2023 20:49:38
3,17,3,3,0.30,1/11/2023 20:49:38
3,17,3,4,0.00,1/11/2023 20:49:38
3,17,4,1,0.00,1/11/2023 20:49:38
3,17,4,2,0.00,1/11/2023 20:49:38
3,17,4,3,0.94,1/11/2023 20:49:38
3,17,4,4,0.00,1/11/2023 20:49:38
3,17,5,1,0.00,1/11/2023 20:49:38
3,17,5,2,0.00,1/11/2023 20:49:38
3,17,5,3,1.00,1/11/2023 20:49:38
3,17,5,4,0.00,1/11/2023 20:49:38
3,18,2,1,0.00,1/11/2023 20:49:38
3,18,2,2,0.00,1/11/2023 20:49:38
3,18,2,3,0.02,1/11/2023 20:49:38
3,18,2,4,0.00,1/11/2023 20:49:38
3,18,3,1,0.00,1/11/2023 20:49:38
3,18,3,2,0.00,1/11/2023 20:49:38
3,18,3,3,0.26,1/11/2023 20:49:38
3,18,3,4,0.00,1/11/2023 20:49:38
3,18,4,1,0.00,1/11/2023 20:49:38
3,18,4,2,0.00,1/11/2023 20:49:38
3,18,4,3,0.96,1/11/2023 20:49:38
3,18,4,4,0.00,1/11/2023 20:49:38
3,18,5,1,0.00,1/11/2023 20:49:38
3,18,5,2,0.00,1/11/2023 20:49:38
3,18,5,3,1.00,1/11/2023 20:49:38
3,18,5,4,0.00,1/11/2023 20:49:38
3,19,2,1,0.00,1/11/2023 20:49:38
3,19,2,2,0.00,1/11/2023 20:49:38
3,19,2,3,0.03,1/11/2023 20:49:38
3,19,2,4,0.00,1/11/2023 20:49:38
3,19,3,1,0.00,1/11/2023 20:49:38
3,19,3,2,0.00,1/11/2023 20:49:38
3,19,3,3,0.70,1/11/2023 20:49:38
3,19,3,4,0.00,1/11/2023 20:49:38
3,19,4,1,0.00,1/11/2023 20:49:38
3,19,4,2,0.00,1/11/2023 20:49:38
3,19,4,3,0.98,1/11/2023 20:49:38
3,19,4,4,0.00,1/11/2023 20:49:38
3,19,5,1,0.00,1/11/2023 20:49:38
3,19,5,2,0.00,1/11/2023 20:49:38
3,19,5,3,1.00,1/11/2023 20:49:38
3,19,5,4,0.00,1/11/2023 20:49:38
3,20,2,1,0.00,1/11/2023 20:49:38
3,20,2,2,0.00,1/11/2023 20:49:38
3,20,2,3,0.04,1/11/2023 20:49:38
3,20,2,4,0.00,1/11/2023 20:49:38
3,20,3,1,0.00,1/11/2023 20:49:38
3,20,3,2,0.00,1/11/2023 20:49:38
3,20,3,3,0.25,1/11/2023 20:49:38
3,20,3,4,0.00,1/11/2023 20:49:38
3,20,4,1,0.00,1/11/2023 20:49:38
3,20,4,2,0.00,1/11/2023 20:49:38
3,20,4,3,0.82,1/11/2023 20:49:38
3,20,4,4,0.00,1/11/2023 20:49:38
3,20,5,1,0.00,1/11/2023 20:49:38
3,20,5,2,0.00,1/11/2023 20:49:38
3,20,5,3,1.00,1/11/2023 20:49:38
3,20,5,4,0.00,1/11/2023 20:49:38
3,21,2,1,0.00,1/11/2023 20:49:38
3,21,2,2,0.00,1/11/2023 20:49:38
3,21,2,3,0.01,1/11/2023 20:49:38
3,21,2,4,0.00,1/11/2023 20:49:38
3,21,3,1,0.00,1/11/2023 20:49:38
3,21,3,2,0.00,1/11/2023 20:49:38
3,21,3,3,0.03,1/11/2023 20:49:38
3,21,3,4,0.00,1/11/2023 20:49:38
3,21,4,1,0.00,1/11/2023 20:49:38
3,21,4,2,0.00,1/11/2023 20:49:38
3,21,4,3,0.38,1/11/2023 20:49:38
3,21,4,4,0.00,1/11/2023 20:49:38
3,21,5,1,0.00,1/11/2023 20:49:38
3,21,5,2,0.00,1/11/2023 20:49:38
3,21,5,3,1.00,1/11/2023 20:49:38
3,21,5,4,0.00,1/11/2023 20:49:38
3,22,2,1,0.00,1/11/2023 20:49:38
3,22,2,2,0.00,1/11/2023 20:49:38
3,22,2,3,0.09,1/11/2023 20:49:38
3,22,2,4,0.00,1/11/2023 20:49:38
3,22,3,1,0.00,1/11/2023 20:49:38
3,22,3,2,0.00,1/11/2023 20:49:38
3,22,3,3,0.80,1/11/2023 20:49:38
3,22,3,4,0.00,1/11/2023 20:49:38
3,22,4,1,0.00,1/11/2023 20:49:38
3,22,4,2,0.00,1/11/2023 20:49:38
3,22,4,3,0.99,1/11/2023 20:49:38
3,22,4,4,0.00,1/11/2023 20:49:38
3,22,5,1,0.00,1/11/2023 20:49:38
3,22,5,2,0.00,1/11/2023 20:49:38
