"ID","FishingYear","FishScalar","TimeStep","FisheryID","CalibrationID"
15750,1996,2.92,3,67,
15751,1996,0.00,1,68,
15752,1996,0.00,2,68,
15753,1996,0.00,3,68,
15754,1996,1.03,1,69,
15755,1996,0.00,2,69,
15756,1996,1.68,3,69,
15757,1996,0.00,1,70,
15758,1996,0.00,2,70,
15759,1996,0.00,3,70,
15760,1996,0.47,1,71,
15761,1996,0.00,2,71,
15762,1996,0.05,3,71,
15763,1996,0.00,1,72,
15764,1996,0.00,2,72,
15765,1996,0.00,3,72,
15766,1996,0.00,1,73,
15767,1996,0.00,2,73,
15768,1996,0.00,3,73,
15769,1997,0.85,1,1,
15770,1997,1.02,2,1,
15771,1997,2.77,3,1,
15772,1997,0.00,1,2,
15773,1997,1.29,2,2,
15774,1997,0.72,3,2,
15775,1997,0.00,1,3,
15776,1997,1.19,2,3,
15777,1997,0.71,3,3,
15778,1997,0.00,1,4,
15779,1997,15.61,2,4,
15780,1997,13.39,3,4,
15781,1997,0.17,1,5,
15782,1997,0.91,2,5,
15783,1997,0.01,3,5,
15784,1997,0.08,1,6,
15785,1997,21.49,2,6,
15786,1997,4.66,3,6,
15787,1997,0.00,1,7,
15788,1997,0.00,2,7,
15789,1997,2.42,3,7,
15790,1997,0.32,1,8,
15791,1997,0.56,2,8,
15792,1997,0.49,3,8,
15793,1997,0.00,1,9,
15794,1997,0.00,2,9,
15795,1997,5.32,3,9,
15796,1997,0.00,1,10,
15797,1997,1.2e-03,2,10,
15798,1997,3.10,3,10,
15799,1997,0.51,1,11,
15800,1997,0.56,2,11,
15801,1997,0.50,3,11,
15802,1997,0.46,1,12,
15803,1997,92.11,2,12,
15804,1997,50.47,3,12,
15805,1997,1.29,1,13,
15806,1997,1.95,2,13,
15807,1997,0.49,3,13,
15808,1997,0.61,1,14,
15809,1997,0.59,2,14,
15810,1997,1.66,3,14,
15811,1997,0.84,1,15,
15812,1997,1.35,2,15,
15813,1997,0.52,3,15,
15814,1997,0.00,1,16,
15815,1997,1.13,2,16,
15816,1997,0.00,3,16,
15817,1997,0.32,1,17,
15818,1997,0.71,2,17,
15819,1997,0.42,3,17,
15820,1997,0.00,1,18,
15821,1997,0.00,2,18,
15822,1997,0.20,3,18,
15823,1997,0.00,1,19,
15824,1997,0.00,2,19,
15825,1997,0.00,3,19,
15826,1997,0.00,1,20,
15827,1997,0.06,2,20,
15828,1997,0.00,3,20,
15829,1997,0.00,1,21,
15830,1997,0.09,2,21,
15831,1997,2.73,3,21,
15832,1997,0.00,1,22,
15833,1997,0.00,2,22,
15834,1997,0.46,3,22,
15835,1997,0.00,1,23,
15836,1997,0.00,2,23,
15837,1997,0.90,3,23,
15838,1997,0.00,1,24,
15839,1997,0.00,2,24,
15840,1997,0.71,3,24,
15841,1997,0.00,1,25,
15842,1997,0.00,2,25,
15843,1997,1.31,3,25,
15844,1997,0.00,1,26,
15845,1997,7.6e-03,2,26,
15846,1997,0.00,3,26,
15847,1997,0.00,1,27,
15848,1997,0.00,2,27,
15849,1997,0.18,3,27,
15850,1997,0.00,1,28,
15851,1997,0.00,2,28,
15852,1997,0.00,3,28,
15853,1997,0.00,1,29,
15854,1997,0.00,2,29,
15855,1997,0.00,3,29,
15856,1997,2.25,1,30,
15857,1997,4.74,2,30,
15858,1997,3.60,3,30,
15859,1997,0.71,1,31,
15860,1997,0.39,2,31,
